random,question,name,match,life,which_list
10,9,Romy Schneider,fact mismatch,dead,1
11,3,May Warden,full match,dead,1
13,49,Anne Cunningham,fake,fake,1
15,19,Charlie Chaplin,life-fact mismatch,dead,1
15,36,Aretha Franklin,real,dead,1
16,2,Uma Thurmann,full match,alive,1
17,15,F. Scott Fitzgerald,life mismatch,dead,1
17,30,Cristiano Ronaldo,real,alive,1
17,33,Abraham Lincoln,real,dead,1
20,10,Greta Thunberg,fact mismatch,alive,1
25,5,Emmanuel Macron,full match,alive,1
25,20,Falco,life-fact mismatch,dead,1
25,35,Christopher Lee,real,dead,1
25,41,Laura Reitsch,fake,fake,1
28,12,Muhammad Ali,life mismatch,dead,1
28,21,Scarlett Johansson,real,alive,1
28,29,Steven Spielberg,real,alive,1
30,8,Joaquin Phoenix,fact mismatch,alive,1
34,45,Stefan Beck,fake,fake,1
35,1,Emma Watson,full match,alive,1
35,28,Angela Merkel,real,alive,1
35,38,Anne Frank,real,dead,1
36,46,Harrison Bradley,fake,fake,1
39,14,Franka Potente,life mismatch,alive,1
39,34,Tupac,real,dead,1
39,37,Ludwig van Beethoven,real,dead,1
39,50,Leslie Brown,fake,fake,1
40,6,Stephen King,fact mismatch,alive,1
42,17,Namika,life-fact mismatch,alive,1
42,22,Meryl Streep,real,alive,1
42,32,Nikola Tesla,real,dead,1
44,13,Lionel Messi,life mismatch,alive,1
44,39,Agatha Christie,real,dead,1
44,40,William Shakespeare,real,dead,1
48,47,Peter Hunt,fake,fake,1
48,48,Theresa Stark,fake,fake,1
50,7,Virginia Woolf,fact mismatch,dead,1
58,18,Stanley Kubrick,life-fact mismatch,dead,1
58,23,Axl Rose,real,alive,1
58,25,Avril Lavigne,real,alive,1
59,11,Mike Myers,life mismatch,alive,1
59,26,Björk,real,alive,1
59,31,Malcolm X,real,dead,1
59,42,Ingeborg Geiger,fake,fake,1
68,16,David Bowie,life-fact mismatch,dead,1
68,24,Denzel Washington,real,alive,1
84,4,Fritz Lang,full match,dead,1
84,27,Haruki Murakami,real,alive,1
84,43,Florian Mälzer,real,fake,1
85,44,Christian Groß,fake,fake,1
10000,51,void,void,void,void
